Time t / s,Voltage U_B1 / V,Temperature &J_A11 / °C,Temperature &J_A12 / °C
0,4.98,21.3383975406593,20.7486326851958
0.1,4.975,21.4394995525894,20.7486326851958
0.2,4.98,21.3383975406593,20.7486326851958
0.299,4.975,21.4394995525894,20.7486326851958
0.401,4.98,21.5406015645194,20.7486326851958
0.499,4.98,21.4394995525894,20.8497346971259
0.6,4.975,21.3383975406593,20.7486326851958
0.7,4.98,21.4394995525894,20.7486326851958
0.799,4.98,21.4394995525894,20.7486326851958
0.9,4.975,21.4394995525894,20.7486326851958
1,4.98,21.4394995525894,20.7486326851958
1.1,4.98,21.3955537139969,20.8497346971259
1.2,4.98,21.496655725927,20.7486326851958
1.3,4.975,21.496655725927,20.8497346971259
1.401,4.98,21.3955537139969,20.7486326851958
1.499,4.98,21.3955537139969,20.8497346971259
1.601,4.98,21.496655725927,20.7486326851958
1.7,4.975,21.496655725927,20.8497346971259
1.8,4.975,21.496655725927,20.8497346971259
1.901,4.98,21.496655725927,20.7486326851958
2,4.98,21.3955537139969,20.7486326851958
2.099,4.98,21.3955537139969,20.7486326851958
2.201,4.98,21.4394995525894,20.6912036505529
2.3,4.98,21.3383975406593,20.6912036505529
2.4,4.98,21.3383975406593,20.6912036505529
2.499,4.98,21.3383975406593,20.6912036505529
2.6,4.98,21.3383975406593,20.6912036505529
2.699,4.98,21.4394995525894,20.6912036505529
2.8,4.975,21.3383975406593,20.7923056624829
2.9,4.975,21.4394995525894,20.6912036505529
2.999,4.98,21.4394995525894,20.6912036505529
3.1,4.98,21.3383975406593,20.7923056624829
3.2,4.975,21.3383975406593,20.7923056624829
3.3,4.98,21.3383975406593,20.8497346971259
3.4,4.985,21.4394995525894,20.8497346971259
3.5,4.975,21.3383975406593,20.8497346971259
3.6,4.975,21.4394995525894,20.7486326851958
3.7,4.98,21.3383975406593,20.8497346971259
3.8,4.975,21.4394995525894,20.7486326851958
3.901,4.975,21.4394995525894,20.8497346971259
3.999,4.98,21.4394995525894,20.8497346971259
4.1,4.98,21.3383975406593,20.7486326851958
4.201,4.975,21.3383975406593,20.8497346971259
4.3,4.98,21.3383975406593,20.8497346971259
4.399,4.98,21.3955537139969,20.7923056624829
4.5,4.98,21.496655725927,20.7923056624829
4.599,4.98,21.496655725927,20.7923056624829
4.7,4.975,21.496655725927,20.7923056624829
4.8,4.975,21.496655725927,20.7923056624829
4.9,4.98,21.496655725927,20.7923056624829
5,4.98,21.3955537139969,20.7923056624829
5.1,4.98,21.496655725927,20.7923056624829
5.2,4.98,21.496655725927,20.7923056624829
5.3,4.975,21.3955537139969,20.7923056624829
5.4,4.975,21.496655725927,20.7923056624829
5.501,4.98,21.3383975406593,20.7923056624829
5.601,4.98,21.3383975406593,20.7923056624829
5.701,4.975,21.3383975406593,20.7923056624829
5.801,4.975,21.3383975406593,20.6912036505529
5.9,4.98,21.3383975406593,20.7923056624829
6.001,4.98,21.3383975406593,20.7923056624829
6.101,4.985,21.3383975406593,20.7923056624829
6.2,4.98,21.3383975406593,20.7923056624829
6.3,4.98,21.3383975406593,20.6912036505529
6.4,4.98,21.4394995525894,20.6912036505529
6.5,4.975,21.4394995525894,20.7923056624829
6.6,4.975,21.496655725927,20.8497346971259
6.699,4.98,21.3955537139969,20.8497346971259
6.8,4.98,21.3955537139969,20.8497346971259
6.9,4.975,21.3955537139969,20.8497346971259
7,4.985,21.3955537139969,20.8497346971259
7.099,4.98,21.496655725927,20.8497346971259
7.2,4.98,21.496655725927,20.8497346971259
7.301,4.98,21.3955537139969,20.8497346971259
7.4,4.975,21.3955537139969,20.9508367090559
7.501,4.975,21.496655725927,20.8497346971259
7.6,4.98,21.496655725927,20.8497346971259
7.699,4.98,21.3955537139969,20.8497346971259
7.801,4.98,21.496655725927,20.8497346971259
7.9,4.98,21.3955537139969,20.8497346971259
8,4.98,21.496655725927,20.9508367090559
8.1,4.98,21.3955537139969,20.8497346971259
8.2,4.975,21.3955537139969,20.8497346971259
8.3,4.975,21.3955537139969,20.8497346971259
8.401,4.98,21.3955537139969,20.8497346971259
8.5,4.975,21.496655725927,20.9508367090559
8.6,4.98,21.3955537139969,20.8497346971259
8.701,4.985,21.496655725927,20.9508367090559
8.8,4.98,21.3955537139969,20.9508367090559
8.9,4.975,21.496655725927,20.8497346971259
8.999,4.975,21.3955537139969,20.9508367090559
9.1,4.98,21.3955537139969,20.9508367090559
9.2,4.98,21.3955537139969,20.9508367090559
9.299,4.975,21.3955537139969,20.9508367090559
9.4,4.98,21.3955537139969,21.0519387209859
9.5,4.98,21.496655725927,20.9508367090559
9.601,4.98,21.3955537139969,20.9508367090559
9.7,4.98,21.496655725927,20.9508367090559
9.8,4.98,21.3955537139969,21.0519387209859
9.9,4.98,21.3955537139969,20.9508367090559
10.001,4.98,21.496655725927,20.9508367090559
10.099,4.98,21.496655725927,21.0519387209859
10.199,4.975,21.3955537139969,21.0519387209859
10.3,4.975,21.3955537139969,20.9508367090559
10.4,4.98,21.3955537139969,21.0519387209859
10.5,4.975,21.3955537139969,21.0519387209859
10.6,4.98,21.496655725927,21.0519387209859
10.701,4.975,21.3955537139969,21.0519387209859
10.8,4.975,21.3955537139969,21.0519387209859
10.9,4.975,21.496655725927,21.0519387209859
11,4.975,21.3955537139969,21.0519387209859
11.1,4.98,21.496655725927,21.0519387209859
11.201,4.98,21.3955537139969,20.9508367090559
11.3,4.975,21.3955537139969,21.0519387209859
11.399,4.975,21.3955537139969,21.0519387209859
11.5,4.98,21.3955537139969,21.153040732916
11.6,4.98,21.496655725927,21.0519387209859
11.699,4.975,21.3955537139969,21.153040732916
11.8,4.98,21.3955537139969,21.153040732916
11.901,4.98,21.3955537139969,21.153040732916
12,4.98,21.3955537139969,21.153040732916
12.1,4.985,21.3955537139969,21.153040732916
12.2,4.98,21.3955537139969,21.153040732916
12.299,4.98,21.3955537139969,21.153040732916
12.4,4.975,21.3955537139969,21.153040732916
12.499,4.98,21.3955537139969,21.153040732916
12.599,4.975,21.3955537139969,21.153040732916
12.7,4.98,21.496655725927,21.153040732916
12.8,4.98,21.3955537139969,21.254142744846
12.9,4.975,21.3955537139969,21.254142744846
13,4.975,21.3955537139969,21.254142744846
13.1,4.98,21.3955537139969,21.254142744846
13.2,4.975,21.3955537139969,21.1967137102031
13.301,4.975,21.3955537139969,21.2978157221331
13.4,4.98,21.3955537139969,21.1967137102031
13.5,4.975,21.3955537139969,21.1967137102031
13.6,4.98,21.3955537139969,21.2978157221331
13.7,4.98,21.3955537139969,21.2978157221331
13.799,4.98,21.3955537139969,21.2978157221331
13.9,4.98,21.496655725927,21.2978157221331
13.999,4.975,21.3955537139969,21.2978157221331
14.101,4.98,21.3955537139969,21.2978157221331
14.201,4.975,21.3955537139969,21.3989177340631
14.3,4.975,21.3955537139969,21.5574487806361
14.401,4.98,21.496655725927,21.4563467687061
14.499,4.97,21.496655725927,21.4563467687061
14.602,4.975,21.3955537139969,21.5574487806361
14.7,4.98,21.3955537139969,21.5574487806361
14.8,4.975,21.3955537139969,21.5574487806361
14.9,4.98,21.496655725927,21.5574487806361
15,4.985,21.496655725927,21.5574487806361
15.1,4.975,21.3955537139969,21.6585507925662
15.2,4.975,21.496655725927,21.6585507925662
15.3,4.98,21.3955537139969,21.6585507925662
15.4,4.98,21.496655725927,21.7596528044962
15.499,4.975,21.3955537139969,21.6585507925662
15.6,4.98,21.3955537139969,21.7596528044962
15.699,4.98,21.3955537139969,21.7596528044962
15.799,4.975,21.3955537139969,21.8607548164262
15.9,4.98,21.496655725927,21.7596528044962
15.999,4.97,21.3955537139969,21.8607548164262
16.1,4.98,21.496655725927,21.8607548164262
16.199,4.98,21.3955537139969,21.8607548164262
16.3,4.98,21.496655725927,21.8607548164262
16.401,4.985,21.3955537139969,21.9618568283562
16.5,4.98,21.3955537139969,21.9618568283562
16.599,4.98,21.3955537139969,21.9618568283562
16.7,4.98,21.3955537139969,21.9618568283562
16.8,4.98,21.3955537139969,22.0629588402863
16.9,4.975,21.3955537139969,22.0629588402863
17,4.98,21.3955537139969,22.0629588402863
17.099,4.975,21.496655725927,22.0629588402863
17.199,4.98,21.496655725927,22.1640608522164
17.3,4.98,21.3955537139969,22.1640608522164
17.4,4.975,21.3955537139969,22.1640608522164
17.5,4.98,21.3955537139969,22.2651628641464
17.6,4.98,21.3955537139969,22.1640608522164
17.7,4.98,21.3955537139969,22.2651628641464
17.8,4.98,21.3955537139969,22.2651628641464
17.9,4.975,21.3955537139969,22.2651628641464
18,4.975,21.3955537139969,22.2651628641464
18.1,4.975,21.3955537139969,22.2651628641464
18.2,4.98,21.3955537139969,22.2651628641464
18.3,4.975,21.3955537139969,22.2651628641464
18.4,4.98,21.3955537139969,22.3662648760764
18.501,4.975,21.3955537139969,22.2651628641464
18.601,4.98,21.3955537139969,22.3662648760764
18.7,4.98,21.3955537139969,22.3662648760764
18.801,4.975,21.3955537139969,22.3662648760764
18.901,4.98,21.3955537139969,22.3662648760764
19,4.975,21.496655725927,22.3662648760764
19.101,4.98,21.3955537139969,22.3662648760764
19.201,4.98,21.3955537139969,22.4673668880064
19.3,4.975,21.496655725927,22.4673668880064
19.4,4.975,21.3955537139969,22.4673668880064
19.5,4.98,21.3955537139969,22.4673668880064
19.599,4.98,21.3955537139969,22.5684688999365
19.701,4.98,21.3955537139969,22.4673668880064
19.801,4.98,21.3955537139969,22.4673668880064
19.901,4.975,21.3955537139969,22.4673668880064
19.999,4.98,21.496655725927,22.5684688999365
20.099,4.98,21.3955537139969,22.5684688999365
20.201,4.98,21.496655725927,22.5684688999365
20.3,4.975,21.3955537139969,22.5684688999365
20.399,4.975,21.496655725927,22.5684688999365
20.5,4.975,21.496655725927,22.5684688999365
20.599,4.98,21.3955537139969,22.6695709118665
20.7,4.98,21.3955537139969,22.5684688999365
20.801,4.98,21.3955537139969,22.5684688999365
20.901,4.975,21.3955537139969,22.6695709118665
21,4.98,21.496655725927,22.6695709118665
21.1,4.975,21.3955537139969,22.6695709118665
21.201,4.98,21.3955537139969,22.6695709118665
21.3,4.98,21.496655725927,22.6695709118665
21.4,4.98,21.3955537139969,22.6695709118665
21.499,4.98,21.496655725927,22.6695709118665
21.6,4.98,21.3955537139969,22.6695709118665
21.7,4.98,21.496655725927,22.7706729237966
21.801,4.98,21.2944517020669,22.7706729237966
21.9,4.98,21.3955537139969,22.7706729237966
22,4.98,21.496655725927,22.6695709118665
22.101,4.98,21.3955537139969,22.8717749357266
22.201,4.98,21.3955537139969,22.7706729237966
22.3,4.98,21.3955537139969,22.8717749357266
22.401,4.975,21.3955537139969,22.8717749357266
22.501,4.98,21.3955537139969,22.9728769476566
22.6,4.98,21.3955537139969,23.1750809715167
22.7,4.975,21.3955537139969,23.3772849953768
22.8,4.975,21.3955537139969,23.5794890192369
22.9,4.975,21.3955537139969,23.6805910311669
23,4.975,21.3955537139969,23.882795055027
23.099,4.98,21.3955537139969,23.882795055027
23.201,4.985,21.496655725927,23.882795055027
23.3,4.98,21.496655725927,23.882795055027
23.4,4.98,21.3955537139969,23.7816930430969
23.5,4.98,21.3955537139969,23.6805910311669
23.599,4.975,21.3955537139969,23.5794890192369
23.7,4.975,21.3955537139969,23.3772849953768
23.8,4.98,21.3955537139969,23.2761829834467
23.9,4.98,21.3955537139969,23.1750809715167
24,4.975,21.3955537139969,23.0739789595867
24.099,4.98,21.3955537139969,22.8717749357266
24.2,4.98,21.3955537139969,22.8717749357266
24.3,4.98,21.3955537139969,22.7706729237966
24.4,4.98,21.3955537139969,22.7706729237966
24.5,4.98,21.3955537139969,22.7706729237966
24.6,4.985,21.3955537139969,22.8717749357266
24.7,4.975,21.3955537139969,22.9728769476566
24.799,4.975,21.3955537139969,23.1750809715167
24.9,4.975,21.3955537139969,23.3772849953768
25,4.975,21.3955537139969,23.4783870073068
25.1,4.975,21.3955537139969,23.6805910311669
25.2,4.98,21.3955537139969,23.6805910311669
25.3,4.98,21.496655725927,23.7816930430969
25.401,4.975,21.3955537139969,23.6805910311669
25.501,4.98,21.3955537139969,23.6805910311669
25.599,4.98,21.3955537139969,23.6805910311669
25.7,4.98,21.3955537139969,23.4783870073068
25.8,4.98,21.496655725927,23.3772849953768
25.899,4.975,21.3955537139969,23.2761829834467
26,4.98,21.3955537139969,23.1750809715167
26.1,4.975,21.3955537139969,23.0739789595867
26.2,4.985,21.3955537139969,22.9728769476566
26.299,4.98,21.3955537139969,22.9728769476566
26.399,4.975,21.4526652453384,22.8717749357266
26.5,4.98,21.4526652453384,22.8717749357266
26.6,4.98,21.4526652453384,22.8717749357266
26.699,4.98,21.4526652453384,22.9728769476566
26.799,4.98,21.4526652453384,23.0739789595867
26.901,4.98,21.4526652453384,23.2761829834467
27,4.98,21.4526652453384,23.3772849953768
27.1,4.975,21.4526652453384,23.4783870073068
27.2,4.97,21.4526652453384,23.5794890192369
27.3,4.975,21.4526652453384,23.7816930430969
27.401,4.975,21.4526652453384,23.882795055027
27.501,4.98,21.3955537139969,23.882795055027
27.6,4.98,21.3955537139969,23.983897066957
27.7,4.98,21.2944517020669,23.983897066957
27.8,4.985,21.3955537139969,23.983897066957
27.9,4.975,21.3955537139969,23.882795055027
28.001,4.98,21.3955537139969,23.7816930430969
28.1,4.975,21.3955537139969,23.6805910311669
28.2,4.98,21.3955537139969,23.6805910311669
28.303,4.98,21.3955537139969,23.5794890192369
28.401,4.975,21.3955537139969,23.5794890192369
28.5,4.98,21.3955537139969,23.4783870073068
28.601,4.975,21.3955537139969,23.4783870073068
28.7,4.98,21.3955537139969,23.4783870073068
28.8,4.98,21.3955537139969,23.4783870073068
28.9,4.975,21.3955537139969,23.3772849953768
29,4.975,21.3955537139969,23.3772849953768
29.099,4.98,21.3955537139969,23.3772849953768
29.2,4.98,21.3955537139969,23.3772849953768
29.3,4.975,21.3955537139969,23.2761829834467
29.399,4.98,21.3955537139969,23.2761829834467
29.5,4.98,21.3955537139969,23.2761829834467
29.6,4.98,21.3955537139969,23.2761829834467
29.699,4.975,21.3955537139969,23.1750809715167
29.799,4.98,21.3955537139969,23.1750809715167
29.899,4.98,21.2944517020669,23.1750809715167
30,4.98,21.3955537139969,23.1750809715167
30.1,4.975,21.3955537139969,23.1750809715167
30.2,4.98,21.3955537139969,23.0739789595867
30.3,4.98,21.3955537139969,23.0739789595867
30.399,4.98,21.3955537139969,23.0739789595867
30.501,4.975,21.3955537139969,22.9728769476566
30.6,4.975,21.3955537139969,22.9728769476566
30.699,4.98,21.3955537139969,22.8717749357266
30.799,4.98,21.5537672572684,22.7706729237966
30.899,4.98,21.4526652453384,22.8717749357266
30.999,4.98,21.3515632334083,22.8717749357266
31.1,4.98,21.3515632334083,22.7706729237966
31.2,4.975,21.3515632334083,22.7706729237966
31.3,4.98,21.4526652453384,22.7706729237966
31.399,4.98,21.3515632334083,22.8717749357266
31.499,4.98,21.4526652453384,22.8717749357266
31.6,4.98,21.3515632334083,22.8717749357266
31.7,4.98,21.3515632334083,22.8717749357266
31.8,4.98,21.4526652453384,22.9728769476566
31.9,4.975,21.5537672572684,22.8717749357266
32.001,4.98,21.4526652453384,23.0739789595867
32.1,4.985,21.3515632334083,23.0739789595867
32.201,4.975,21.4526652453384,23.1750809715167
32.299,4.98,21.3515632334083,23.2761829834467
32.399,4.98,21.3515632334083,23.3772849953768
32.501,4.98,21.4526652453384,23.4783870073068
32.6,4.975,21.3515632334083,23.4783870073068
32.7,4.98,21.3515632334083,23.6805910311669
32.801,4.98,21.4526652453384,23.882795055027
32.9,4.98,21.4526652453384,23.983897066957
33.001,4.98,21.3955537139969,23.983897066957
33.099,4.98,21.2944517020669,24.0849990788871
33.2,4.98,21.2944517020669,24.2872031027471
33.299,4.975,21.2944517020669,24.2872031027471
33.399,4.98,21.2944517020669,24.3883051146772
33.5,4.98,21.2944517020669,24.3883051146772
33.6,4.98,21.2944517020669,24.3883051146772
33.699,4.975,21.2944517020669,24.3883051146772
33.8,4.98,21.3955537139969,24.3883051146772
33.899,4.98,21.2944517020669,24.3883051146772
34.001,4.98,21.2944517020669,24.2872031027471
34.101,4.98,21.5537672572684,24.1861010908171
34.2,4.98,21.4526652453384,24.2872031027471
34.3,4.975,21.3515632334083,24.1861010908171
34.399,4.98,21.3515632334083,24.1861010908171
34.499,4.98,21.3515632334083,24.0849990788871
